report_date,country,region,tier,rank,game,provider,source_report
2026-05-29,Argentina,LATAM,Tier 2,10,Sweet Bonanza,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,11,Leprechaun’s Luck Cash Collect Megaways,Playtech,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,12,Blackjack 3 Hand,Habanero,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,13,Kemet’s Treasures,Amusnet,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,14,Congo Cash,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-05-29,Argentina,LATAM,Tier 2,15,Madame Destiny Megaways,Pragmatic Play,Tier2_Top15_29_05_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,1,Gates of Olympus 1000,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,2,Gates of Olympus,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,3,Sugar Rush 1000,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,4,Big Bass Splash,Reel Kingdom,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,5,Aviator,Spribe,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,6,Big Bass Bonanza,Reel Kingdom,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,7,Sugar Rush,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,8,European Roulette,Evoplay,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,9,Sweet Bonanza,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,10,Sweet Bonanza 1000,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,11,Gates of Olympus Super Scatter,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,12,Blackjack,Galaxsys,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,13,Buffalo King Megaways,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,14,Luxe Blackjack 2,Winfinity,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,Ghana,WEST AFRICA,Tier 3,15,Zeus vs Hades Gods of War,Pragmatic Play,Tier3_Top15_07_03(2)_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,1,Chicken Road,InOut Games,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,2,Crazy Time,Various provider,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,3,Money Coming,TaDa Gaming,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,4,Aviator,Spribe,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,5,Dragon Tiger,Various provider,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,6,Blackjack,Various provider,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,7,Funky Time,Various provider,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,8,Monopoly,Various provider,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,9,Chicken Road 2.0,InOut Games,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,10,Fortune Gems 2,TaDa Gaming,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,11,Fortune Gems,TaDa Gaming,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,12,JetX,SmartSoft Gaming,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,13,Le Pharaoh,Hacksaw Gaming,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,14,Lucky Ball,JILI,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,India,INDIA,Tier 3,15,Roulette,Various provider,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,1,Gates of Olympus 1000,Pragmatic Play,Tier3_Top15_07_03_Blask_iGamingNews.pdf
2026-03-07,Mexico,LATAM,Tier 3,2,Aviator,Spribe,Tier3_Top15_07_03_Blask_iGamingNews.pdf
